Designator,Mid X,Mid Y,Rotation,Layer
D1,112.4,-105.98,270.0,bottom
D10,150.54,-120.21,270.0,bottom
D11,150.58,-139.34,270.0,bottom
D12,150.5,-158.5,270.0,bottom
D13,169.6,-103.65,270.0,bottom
D14,169.49,-122.62,270.0,bottom
D15,169.62,-141.78,270.0,bottom
D16,169.61,-160.67,270.0,bottom
D17,188.71,-105.97,270.0,bottom
D18,188.72,-124.98,270.0,bottom
D19,188.71,-144.12,270.0,bottom
D2,112.39,-132.48,90.0,bottom
D20,188.7,-163.23,270.0,bottom
D21,93.0,-154.97,270.0,bottom
D22,233.76,-106.28,270.0,bottom
D23,233.73,-125.36,270.0,bottom
D24,233.69,-144.3,270.0,bottom
D25,233.77,-163.37,270.0,bottom
D26,252.91,-103.95,270.0,bottom
D27,252.83,-123.17,270.0,bottom
D28,252.78,-141.91,270.0,bottom
D29,252.83,-161.05,270.0,bottom
D3,112.41,-142.32,270.0,bottom
D30,271.96,-101.75,270.0,bottom
D31,271.92,-120.67,270.0,bottom
D32,271.87,-139.94,270.0,bottom
D33,271.86,-158.83,270.0,bottom
D34,290.99,-103.91,270.0,bottom
D35,290.85,-123.26,270.0,bottom
D36,290.88,-142.02,270.0,bottom
D37,290.95,-161.23,270.0,bottom
D38,309.98,-106.2,270.0,bottom
D39,309.96,-125.32,270.0,bottom
D4,112.45,-163.31,270.0,bottom
D40,309.92,-144.36,270.0,bottom
D41,309.96,-156.52,270.0,bottom
D42,329.91,-154.72,270.0,top
D43,139.750001,-111.897158,0.0,top
D44,273.750001,-112.147158,0.0,top
D45,152.750001,-147.647158,0.0,top
D46,241.500001,-112.147158,0.0,top
D47,173.750001,-111.897158,0.0,top
D48,241.750001,-150.147158,0.0,top
D49,175.500001,-150.147158,0.0,top
D5,131.46,-103.71,270.0,bottom
D50,279.4,-150.0,0.0,top
D6,131.5,-122.87,270.0,bottom
D7,131.46,-141.92,270.0,bottom
D8,131.47,-160.93,270.0,bottom
D9,150.56,-101.27,270.0,bottom
H14,211.29,-131.67,90.0,top
H15,211.32,-161.57,90.0,top
H16,211.43,-104.74,90.0,top
R1,104.75,-136.5825,270.0,bottom
R2,318.0000004828929,-138.49999951710703,315.0,bottom
R3,107.25,-133.0,270.0,bottom
R4,322.75,-132.79,270.0,bottom
S1,121.94,-106.885,180.0,top
S10,160.12,-121.085,180.0,top
S11,160.11,-140.165,180.0,top
S12,160.11,-159.255,180.0,top
S13,179.18,-104.535,180.0,top
S14,179.13,-123.615,180.0,top
S15,179.15,-142.645,180.0,top
S16,179.17,-161.695,180.0,top
S17,198.25,-106.885,180.0,top
S18,198.22,-125.925,180.0,top
S19,198.23,-144.985,180.0,top
S2,121.95,-126.025,180.0,top
S20,198.26,-164.125,180.0,top
S21,102.55,-155.835,180.0,top
S22,224.2,-107.015,180.0,top
S23,224.18,-126.065,180.0,top
S24,224.17,-145.115,180.0,top
S25,224.17,-164.165,180.0,top
S26,243.3,-104.765,180.0,top
S27,243.26,-123.815,180.0,top
S28,243.28,-142.815,180.0,top
S29,243.3,-161.825,180.0,top
S3,121.95,-145.075,180.0,top
S30,262.4,-102.435,180.0,top
S31,262.35,-121.485,180.0,top
S32,262.32,-140.535,180.0,top
S33,262.33,-159.585,180.0,top
S34,281.44,-104.745,180.0,top
S35,281.4,-123.795,180.0,top
S36,281.38,-142.845,180.0,top
S37,281.38,-161.895,180.0,top
S38,300.5,-107.065,180.0,top
S39,300.45,-126.115,180.0,top
S4,121.95,-164.125,180.0,top
S40,300.43,-145.155,180.0,top
S41,300.43,-164.205,180.0,top
S42,320.33,-155.515,180.0,top
S5,141.0,-104.485,180.0,top
S6,141.01,-123.625,180.0,top
S7,141.0,-142.775,180.0,top
S8,141.01,-161.855,180.0,top
S9,160.11,-102.105,180.0,top
U1,101.9275,-134.0673,0.0,top
U2,321.4375,-133.9327,0.0,top
